Price,Close,High,Low,Open,Volume,GMM_Label,Max_Prob
2013-09-04,18567.55078125,18612.599609375,18188.4296875,18314.6796875,14400.0,1,0.9984724964233195
2013-09-05,18979.759765625,19117.51953125,18847.01953125,18857.599609375,13800.0,2,0.8584327243191924
2013-09-06,19270.060546875,19293.9609375,18929.380859375,19072.01953125,15600.0,1,0.9261361411633071
2013-09-10,19997.099609375,20012.689453125,19444.66015625,19448.390625,17800.0,1,0.9999855995637232
2013-09-11,19997.44921875,20055.529296875,19777.630859375,19999.76953125,15700.0,2,0.8825711774976384
2013-09-12,19781.880859375,20052.05078125,19676.490234375,20046.05078125,11900.0,1,0.6890734387237316
2013-09-13,19732.759765625,19899.369140625,19675.6796875,19744.5390625,10600.0,2,0.9903710050208874
2013-09-16,19742.470703125,20086.4296875,19596.150390625,19977.380859375,11200.0,1,0.9963909404430935
2013-09-17,19804.029296875,19819.099609375,19635.439453125,19721.900390625,9900.0,2,0.9951063850019741
2013-09-18,19962.16015625,20013.330078125,19775.2890625,19865.990234375,9300.0,2,0.9927326619716745
2013-09-19,20646.640625,20739.689453125,20347.30078125,20354.73046875,18300.0,1,0.9967512097708553
2013-09-20,20263.7109375,20677.990234375,20051.4296875,20616.349609375,13500.0,1,0.9999920642088407
2013-09-23,19900.9609375,20199.810546875,19826.30078125,20060.8203125,11100.0,2,0.6203898308172228
2013-09-24,19920.2109375,20050.419921875,19782.779296875,19820.029296875,10700.0,2,0.961061461581895
2013-09-25,19856.240234375,19978.490234375,19658.740234375,19947.4296875,13900.0,2,0.7511553470684164
2013-09-26,19893.849609375,19997.279296875,19826.990234375,19853.66015625,14900.0,2,0.9927798006442116
2013-09-27,19727.26953125,19981.5703125,19674.380859375,19951.73046875,11800.0,2,0.9322638613517451
2013-09-30,19379.76953125,19651.310546875,19320.73046875,19643.890625,10000.0,2,0.792327043144187
2013-10-01,19517.150390625,19532.91015625,19264.720703125,19452.05078125,9200.0,2,0.8666949570049945
2013-10-03,19902.0703125,19929.240234375,19583.970703125,19585.7890625,15700.0,1,0.9749272039381784
2013-10-04,19915.94921875,20052.0,19833.169921875,19870.0,12900.0,2,0.986128392798763
2013-10-07,19895.099609375,19921.380859375,19647.880859375,19880.939453125,12300.0,2,0.6478543018105166
2013-10-08,19983.609375,20150.26953125,19936.720703125,20094.2109375,10900.0,2,0.9961706307358051
2013-10-09,20249.259765625,20277.740234375,19826.9609375,19918.19921875,10200.0,1,0.999954093829668
2013-10-10,20272.91015625,20323.76953125,20135.91015625,20228.759765625,10400.0,2,0.9970356787879571
2013-10-11,20528.58984375,20559.689453125,20368.060546875,20535.900390625,11700.0,2,0.9850032784980647
2013-10-14,20607.5390625,20645.939453125,20497.880859375,20534.609375,8900.0,2,0.9974126364248391
2013-10-15,20547.619140625,20759.580078125,20446.73046875,20722.900390625,13600.0,2,0.9459997110402174
2013-10-17,20415.509765625,20629.80078125,20375.419921875,20579.560546875,10300.0,2,0.9896693649747085
2013-10-18,20882.890625,20932.23046875,20486.779296875,20486.779296875,15700.0,1,0.999988642880787
2013-10-21,20893.890625,20970.919921875,20768.990234375,20915.759765625,12200.0,2,0.9956318923593
2013-10-22,20864.970703125,20948.91015625,20810.25,20863.150390625,10700.0,2,0.9970133016873007
2013-10-23,20767.880859375,20922.3203125,20589.720703125,20875.310546875,11200.0,2,0.8651003893877809
2013-10-24,20725.4296875,21039.419921875,20656.69921875,20766.05078125,8200.0,1,0.9771318976322981
2013-10-25,20683.51953125,20782.16015625,20622.55078125,20725.51953125,9600.0,2,0.9979312478549105
2013-10-28,20570.279296875,20771.359375,20550.640625,20696.509765625,8100.0,2,0.9941865710605383
2013-10-29,20929.009765625,20952.55078125,20493.66015625,20593.490234375,11300.0,1,0.9999750834793397
2013-10-30,21033.970703125,21086.58984375,20937.119140625,20944.140625,10400.0,2,0.9950957327130013
2013-10-31,21164.51953125,21205.439453125,20991.98046875,21000.599609375,11900.0,2,0.9816545749573863
2013-11-01,21196.810546875,21293.880859375,21141.3203125,21158.810546875,10000.0,2,0.994359186281411
2013-11-05,20974.7890625,21158.560546875,20951.7109375,21134.099609375,11900.0,2,0.992746301669277
2013-11-06,20894.939453125,21045.380859375,20861.419921875,21004.5390625,10900.0,2,0.9963082594146858
2013-11-07,20822.76953125,21142.849609375,20797.060546875,20896.130859375,11900.0,1,0.9647958280307609
2013-11-08,20666.150390625,20821.009765625,20600.900390625,20785.19921875,10700.0,2,0.9956254420629869
2013-11-11,20490.9609375,20672.529296875,20453.150390625,20596.400390625,10300.0,2,0.9951379642735011
2013-11-12,20281.91015625,20584.220703125,20262.220703125,20510.310546875,10200.0,2,0.8365370097042885
2013-11-13,20194.400390625,20365.58984375,20161.640625,20248.51953125,9000.0,2,0.994498281178669
2013-11-14,20399.419921875,20568.990234375,20348.26953125,20351.390625,12600.0,2,0.8990030031085857
2013-11-18,20850.740234375,20868.759765625,20570.58984375,20570.58984375,10900.0,1,0.6197556881188837
2013-11-19,20890.8203125,20934.400390625,20828.689453125,20870.16015625,11400.0,2,0.9960022511028515
2013-11-20,20635.130859375,20895.30078125,20579.939453125,20857.009765625,8900.0,2,0.9368617912957907
2013-11-21,20229.05078125,20579.259765625,20189.23046875,20579.259765625,8100.0,1,0.9193164533462583
2013-11-22,20217.390625,20388.119140625,20137.669921875,20316.580078125,10600.0,2,0.9948602309578631
2013-11-25,20605.080078125,20626.150390625,20326.66015625,20326.66015625,8200.0,1,0.5820870282626549
2013-11-26,20425.01953125,20604.26953125,20390.619140625,20604.26953125,10500.0,2,0.9921441672484883
2013-11-27,20420.259765625,20482.669921875,20348.060546875,20449.0,7000.0,2,0.9983405196549834
2013-11-28,20534.91015625,20606.380859375,20461.509765625,20522.359375,9000.0,2,0.9980184276460939
2013-11-29,20791.9296875,20819.76953125,20558.9296875,20558.9296875,11200.0,2,0.8572439776723003
2013-12-02,20898.009765625,20941.0,20770.509765625,20771.26953125,9600.0,2,0.9935972532460269
2013-12-03,20854.919921875,20927.05078125,20817.75,20857.849609375,12000.0,2,0.9953854929129916
2013-12-04,20708.7109375,20863.369140625,20673.619140625,20839.44921875,12200.0,2,0.9951662114482503
2013-12-05,20957.810546875,21165.599609375,20929.19921875,20992.25,11900.0,2,0.9462958341759127
2013-12-06,20996.529296875,21049.83984375,20922.44921875,20955.740234375,10100.0,2,0.9968649338115786
2013-12-09,21326.419921875,21483.740234375,21282.640625,21416.669921875,13400.0,2,0.9950141319058695
